timestamp_ms,elapsed_s,run_id,robot_id,expert_name,fault_active,fault_label,fault_subsystem,severity,battery_voltage_v,battery_current_a,battery_power_w,source_file
2300,1.300,battery_undervoltage_run_003,porter_dev,power_expert,1,battery_undervoltage,power,3,10.070,0.840,8.459,ai_ml/datasets/power_expert/raw/battery_undervoltage_run_003.csv
2400,1.400,battery_undervoltage_run_003,porter_dev,power_expert,1,battery_undervoltage,power,3,10.060,0.860,8.652,ai_ml/datasets/power_expert/raw/battery_undervoltage_run_003.csv
2500,1.500,battery_undervoltage_run_003,porter_dev,power_expert,1,battery_undervoltage,power,3,10.050,0.880,8.844,ai_ml/datasets/power_expert/raw/battery_undervoltage_run_003.csv
2600,1.600,battery_undervoltage_run_003,porter_dev,power_expert,1,battery_undervoltage,power,3,10.040,0.820,8.233,ai_ml/datasets/power_expert/raw/battery_undervoltage_run_003.csv
2700,1.700,battery_undervoltage_run_003,porter_dev,power_expert,1,battery_undervoltage,power,3,10.030,0.840,8.425,ai_ml/datasets/power_expert/raw/battery_undervoltage_run_003.csv
1000,0.000,battery_voltage_sag_run_002,porter_dev,power_expert,1,battery_voltage_sag,power,2,11.400,0.820,9.348,ai_ml/datasets/power_expert/raw/battery_voltage_sag_run_002.csv
1100,0.100,battery_voltage_sag_run_002,porter_dev,power_expert,1,battery_voltage_sag,power,2,11.390,0.840,9.568,ai_ml/datasets/power_expert/raw/battery_voltage_sag_run_002.csv
1200,0.200,battery_voltage_sag_run_002,porter_dev,power_expert,1,battery_voltage_sag,power,2,11.380,0.860,9.787,ai_ml/datasets/power_expert/raw/battery_voltage_sag_run_002.csv
1300,0.300,battery_voltage_sag_run_002,porter_dev,power_expert,1,battery_voltage_sag,power,2,11.370,0.880,10.006,ai_ml/datasets/power_expert/raw/battery_voltage_sag_run_002.csv
1400,0.400,battery_voltage_sag_run_002,porter_dev,power_expert,1,battery_voltage_sag,power,2,11.360,0.820,9.315,ai_ml/datasets/power_expert/raw/battery_voltage_sag_run_002.csv
1500,0.500,battery_voltage_sag_run_002,porter_dev,power_expert,1,battery_voltage_sag,power,2,11.350,0.840,9.534,ai_ml/datasets/power_expert/raw/battery_voltage_sag_run_002.csv
1600,0.600,battery_voltage_sag_run_002,porter_dev,power_expert,1,battery_voltage_sag,power,2,11.340,0.860,9.752,ai_ml/datasets/power_expert/raw/battery_voltage_sag_run_002.csv
1700,0.700,battery_voltage_sag_run_002,porter_dev,power_expert,1,battery_voltage_sag,power,2,11.330,0.880,9.970,ai_ml/datasets/power_expert/raw/battery_voltage_sag_run_002.csv
1800,0.800,battery_voltage_sag_run_002,porter_dev,power_expert,1,battery_voltage_sag,power,2,11.320,0.820,9.282,ai_ml/datasets/power_expert/raw/battery_voltage_sag_run_002.csv
1900,0.900,battery_voltage_sag_run_002,porter_dev,power_expert,1,battery_voltage_sag,power,2,11.310,0.840,9.500,ai_ml/datasets/power_expert/raw/battery_voltage_sag_run_002.csv
2000,1.000,battery_voltage_sag_run_002,porter_dev,power_expert,1,battery_voltage_sag,power,2,11.300,0.860,9.718,ai_ml/datasets/power_expert/raw/battery_voltage_sag_run_002.csv
2100,1.100,battery_voltage_sag_run_002,porter_dev,power_expert,1,battery_voltage_sag,power,2,11.290,0.880,9.935,ai_ml/datasets/power_expert/raw/battery_voltage_sag_run_002.csv
2200,1.200,battery_voltage_sag_run_002,porter_dev,power_expert,1,battery_voltage_sag,power,2,11.280,0.820,9.250,ai_ml/datasets/power_expert/raw/battery_voltage_sag_run_002.csv
2300,1.300,battery_voltage_sag_run_002,porter_dev,power_expert,1,battery_voltage_sag,power,2,11.270,0.840,9.467,ai_ml/datasets/power_expert/raw/battery_voltage_sag_run_002.csv
2400,1.400,battery_voltage_sag_run_002,porter_dev,power_expert,1,battery_voltage_sag,power,2,11.260,0.860,9.684,ai_ml/datasets/power_expert/raw/battery_voltage_sag_run_002.csv
2500,1.500,battery_voltage_sag_run_002,porter_dev,power_expert,1,battery_voltage_sag,power,2,11.250,0.880,9.900,ai_ml/datasets/power_expert/raw/battery_voltage_sag_run_002.csv
2600,1.600,battery_voltage_sag_run_002,porter_dev,power_expert,1,battery_voltage_sag,power,2,11.240,0.820,9.217,ai_ml/datasets/power_expert/raw/battery_voltage_sag_run_002.csv
2700,1.700,battery_voltage_sag_run_002,porter_dev,power_expert,1,battery_voltage_sag,power,2,11.230,0.840,9.433,ai_ml/datasets/power_expert/raw/battery_voltage_sag_run_002.csv
1000,0.000,excessive_system_load_run_006,porter_dev,power_expert,1,excessive_system_load,power,3,12.600,1.970,24.822,ai_ml/datasets/power_expert/raw/excessive_system_load_run_006.csv
1100,0.100,excessive_system_load_run_006,porter_dev,power_expert,1,excessive_system_load,power,3,12.590,1.990,25.054,ai_ml/datasets/power_expert/raw/excessive_system_load_run_006.csv
1200,0.200,excessive_system_load_run_006,porter_dev,power_expert,1,excessive_system_load,power,3,12.580,2.010,25.286,ai_ml/datasets/power_expert/raw/excessive_system_load_run_006.csv
1300,0.300,excessive_system_load_run_006,porter_dev,power_expert,1,excessive_system_load,power,3,12.570,2.030,25.517,ai_ml/datasets/power_expert/raw/excessive_system_load_run_006.csv
1400,0.400,excessive_system_load_run_006,porter_dev,power_expert,1,excessive_system_load,power,3,12.560,1.970,24.743,ai_ml/datasets/power_expert/raw/excessive_system_load_run_006.csv
1500,0.500,excessive_system_load_run_006,porter_dev,power_expert,1,excessive_system_load,power,3,12.550,1.990,24.974,ai_ml/datasets/power_expert/raw/excessive_system_load_run_006.csv
1600,0.600,excessive_system_load_run_006,porter_dev,power_expert,1,excessive_system_load,power,3,12.540,2.010,25.205,ai_ml/datasets/power_expert/raw/excessive_system_load_run_006.csv
1700,0.700,excessive_system_load_run_006,porter_dev,power_expert,1,excessive_system_load,power,3,12.530,2.030,25.436,ai_ml/datasets/power_expert/raw/excessive_system_load_run_006.csv
1800,0.800,excessive_system_load_run_006,porter_dev,power_expert,1,excessive_system_load,power,3,12.520,1.970,24.664,ai_ml/datasets/power_expert/raw/excessive_system_load_run_006.csv
1900,0.900,excessive_system_load_run_006,porter_dev,power_expert,1,excessive_system_load,power,3,12.510,1.990,24.895,ai_ml/datasets/power_expert/raw/excessive_system_load_run_006.csv
2000,1.000,excessive_system_load_run_006,porter_dev,power_expert,1,excessive_system_load,power,3,12.500,2.010,25.125,ai_ml/datasets/power_expert/raw/excessive_system_load_run_006.csv
2100,1.100,excessive_system_load_run_006,porter_dev,power_expert,1,excessive_system_load,power,3,12.490,2.030,25.355,ai_ml/datasets/power_expert/raw/excessive_system_load_run_006.csv
2200,1.200,excessive_system_load_run_006,porter_dev,power_expert,1,excessive_system_load,power,3,12.480,1.970,24.586,ai_ml/datasets/power_expert/raw/excessive_system_load_run_006.csv
2300,1.300,excessive_system_load_run_006,porter_dev,power_expert,1,excessive_system_load,power,3,12.470,1.990,24.815,ai_ml/datasets/power_expert/raw/excessive_system_load_run_006.csv
2400,1.400,excessive_system_load_run_006,porter_dev,power_expert,1,excessive_system_load,power,3,12.460,2.010,25.045,ai_ml/datasets/power_expert/raw/excessive_system_load_run_006.csv
2500,1.500,excessive_system_load_run_006,porter_dev,power_expert,1,excessive_system_load,power,3,12.450,2.030,25.273,ai_ml/datasets/power_expert/raw/excessive_system_load_run_006.csv
2600,1.600,excessive_system_load_run_006,porter_dev,power_expert,1,excessive_system_load,power,3,12.440,1.970,24.507,ai_ml/datasets/power_expert/raw/excessive_system_load_run_006.csv
2700,1.700,excessive_system_load_run_006,porter_dev,power_expert,1,excessive_system_load,power,3,12.430,1.990,24.736,ai_ml/datasets/power_expert/raw/excessive_system_load_run_006.csv
1000,0.000,healthy_run_001,porter_dev,power_expert,0,healthy,power,0,12.600,0.820,10.332,ai_ml/datasets/power_expert/raw/healthy_run_001.csv
1100,0.100,healthy_run_001,porter_dev,power_expert,0,healthy,power,0,12.590,0.840,10.576,ai_ml/datasets/power_expert/raw/healthy_run_001.csv
1200,0.200,healthy_run_001,porter_dev,power_expert,0,healthy,power,0,12.580,0.860,10.819,ai_ml/datasets/power_expert/raw/healthy_run_001.csv
1300,0.300,healthy_run_001,porter_dev,power_expert,0,healthy,power,0,12.570,0.880,11.062,ai_ml/datasets/power_expert/raw/healthy_run_001.csv
1400,0.400,healthy_run_001,porter_dev,power_expert,0,healthy,power,0,12.560,0.820,10.299,ai_ml/datasets/power_expert/raw/healthy_run_001.csv
1500,0.500,healthy_run_001,porter_dev,power_expert,0,healthy,power,0,12.550,0.840,10.542,ai_ml/datasets/power_expert/raw/healthy_run_001.csv
1600,0.600,healthy_run_001,porter_dev,power_expert,0,healthy,power,0,12.540,0.860,10.784,ai_ml/datasets/power_expert/raw/healthy_run_001.csv
1700,0.700,healthy_run_001,porter_dev,power_expert,0,healthy,power,0,12.530,0.880,11.026,ai_ml/datasets/power_expert/raw/healthy_run_001.csv
1800,0.800,healthy_run_001,porter_dev,power_expert,0,healthy,power,0,12.520,0.820,10.266,ai_ml/datasets/power_expert/raw/healthy_run_001.csv
1900,0.900,healthy_run_001,porter_dev,power_expert,0,healthy,power,0,12.510,0.840,10.508,ai_ml/datasets/power_expert/raw/healthy_run_001.csv
2000,1.000,healthy_run_001,porter_dev,power_expert,0,healthy,power,0,12.500,0.860,10.750,ai_ml/datasets/power_expert/raw/healthy_run_001.csv
2100,1.100,healthy_run_001,porter_dev,power_expert,0,healthy,power,0,12.490,0.880,10.991,ai_ml/datasets/power_expert/raw/healthy_run_001.csv
2200,1.200,healthy_run_001,porter_dev,power_expert,0,healthy,power,0,12.480,0.820,10.234,ai_ml/datasets/power_expert/raw/healthy_run_001.csv
2300,1.300,healthy_run_001,porter_dev,power_expert,0,healthy,power,0,12.470,0.840,10.475,ai_ml/datasets/power_expert/raw/healthy_run_001.csv
2400,1.400,healthy_run_001,porter_dev,power_expert,0,healthy,power,0,12.460,0.860,10.716,ai_ml/datasets/power_expert/raw/healthy_run_001.csv
2500,1.500,healthy_run_001,porter_dev,power_expert,0,healthy,power,0,12.450,0.880,10.956,ai_ml/datasets/power_expert/raw/healthy_run_001.csv
2600,1.600,healthy_run_001,porter_dev,power_expert,0,healthy,power,0,12.440,0.820,10.201,ai_ml/datasets/power_expert/raw/healthy_run_001.csv
2700,1.700,healthy_run_001,porter_dev,power_expert,0,healthy,power,0,12.430,0.840,10.441,ai_ml/datasets/power_expert/raw/healthy_run_001.csv
1000,0.000,loose_power_connection_run_004,porter_dev,power_expert,1,loose_power_connection,power,1,12.600,1.070,13.482,ai_ml/datasets/power_expert/raw/loose_power_connection_run_004.csv
1100,0.100,loose_power_connection_run_004,porter_dev,power_expert,1,loose_power_connection,power,1,12.090,0.840,10.156,ai_ml/datasets/power_expert/raw/loose_power_connection_run_004.csv
1200,0.200,loose_power_connection_run_004,porter_dev,power_expert,1,loose_power_connection,power,1,12.580,0.860,10.819,ai_ml/datasets/power_expert/raw/loose_power_connection_run_004.csv
1300,0.300,loose_power_connection_run_004,porter_dev,power_expert,1,loose_power_connection,power,1,12.070,1.130,13.639,ai_ml/datasets/power_expert/raw/loose_power_connection_run_004.csv
1400,0.400,loose_power_connection_run_004,porter_dev,power_expert,1,loose_power_connection,power,1,12.560,0.820,10.299,ai_ml/datasets/power_expert/raw/loose_power_connection_run_004.csv
1500,0.500,loose_power_connection_run_004,porter_dev,power_expert,1,loose_power_connection,power,1,12.050,0.840,10.122,ai_ml/datasets/power_expert/raw/loose_power_connection_run_004.csv
1600,0.600,loose_power_connection_run_004,porter_dev,power_expert,1,loose_power_connection,power,1,12.540,1.110,13.919,ai_ml/datasets/power_expert/raw/loose_power_connection_run_004.csv
1700,0.700,loose_power_connection_run_004,porter_dev,power_expert,1,loose_power_connection,power,1,12.030,0.880,10.586,ai_ml/datasets/power_expert/raw/loose_power_connection_run_004.csv
1800,0.800,loose_power_connection_run_004,porter_dev,power_expert,1,loose_power_connection,power,1,12.520,0.820,10.266,ai_ml/datasets/power_expert/raw/loose_power_connection_run_004.csv
1900,0.900,loose_power_connection_run_004,porter_dev,power_expert,1,loose_power_connection,power,1,12.010,1.090,13.091,ai_ml/datasets/power_expert/raw/loose_power_connection_run_004.csv
2000,1.000,loose_power_connection_run_004,porter_dev,power_expert,1,loose_power_connection,power,1,12.500,0.860,10.750,ai_ml/datasets/power_expert/raw/loose_power_connection_run_004.csv
2100,1.100,loose_power_connection_run_004,porter_dev,power_expert,1,loose_power_connection,power,1,11.990,0.880,10.551,ai_ml/datasets/power_expert/raw/loose_power_connection_run_004.csv
2200,1.200,loose_power_connection_run_004,porter_dev,power_expert,1,loose_power_connection,power,1,12.480,1.070,13.354,ai_ml/datasets/power_expert/raw/loose_power_connection_run_004.csv
2300,1.300,loose_power_connection_run_004,porter_dev,power_expert,1,loose_power_connection,power,1,11.970,0.840,10.055,ai_ml/datasets/power_expert/raw/loose_power_connection_run_004.csv
2400,1.400,loose_power_connection_run_004,porter_dev,power_expert,1,loose_power_connection,power,1,12.460,0.860,10.716,ai_ml/datasets/power_expert/raw/loose_power_connection_run_004.csv
2500,1.500,loose_power_connection_run_004,porter_dev,power_expert,1,loose_power_connection,power,1,11.950,1.130,13.503,ai_ml/datasets/power_expert/raw/loose_power_connection_run_004.csv
2600,1.600,loose_power_connection_run_004,porter_dev,power_expert,1,loose_power_connection,power,1,12.440,0.820,10.201,ai_ml/datasets/power_expert/raw/loose_power_connection_run_004.csv
2700,1.700,loose_power_connection_run_004,porter_dev,power_expert,1,loose_power_connection,power,1,11.930,0.840,10.021,ai_ml/datasets/power_expert/raw/loose_power_connection_run_004.csv
1000,0.000,regulator_instability_run_005,porter_dev,power_expert,1,regulator_instability,power,2,12.250,0.820,10.045,ai_ml/datasets/power_expert/raw/regulator_instability_run_005.csv
1100,0.100,regulator_instability_run_005,porter_dev,power_expert,1,regulator_instability,power,2,12.940,0.840,10.870,ai_ml/datasets/power_expert/raw/regulator_instability_run_005.csv
1200,0.200,regulator_instability_run_005,porter_dev,power_expert,1,regulator_instability,power,2,12.230,0.860,10.518,ai_ml/datasets/power_expert/raw/regulator_instability_run_005.csv
1300,0.300,regulator_instability_run_005,porter_dev,power_expert,1,regulator_instability,power,2,12.920,0.880,11.370,ai_ml/datasets/power_expert/raw/regulator_instability_run_005.csv
1400,0.400,regulator_instability_run_005,porter_dev,power_expert,1,regulator_instability,power,2,12.210,0.820,10.012,ai_ml/datasets/power_expert/raw/regulator_instability_run_005.csv
1500,0.500,regulator_instability_run_005,porter_dev,power_expert,1,regulator_instability,power,2,12.900,0.840,10.836,ai_ml/datasets/power_expert/raw/regulator_instability_run_005.csv
1600,0.600,regulator_instability_run_005,porter_dev,power_expert,1,regulator_instability,power,2,12.190,0.860,10.483,ai_ml/datasets/power_expert/raw/regulator_instability_run_005.csv
1700,0.700,regulator_instability_run_005,porter_dev,power_expert,1,regulator_instability,power,2,12.880,0.880,11.334,ai_ml/datasets/power_expert/raw/regulator_instability_run_005.csv
1800,0.800,regulator_instability_run_005,porter_dev,power_expert,1,regulator_instability,power,2,12.170,0.820,9.979,ai_ml/datasets/power_expert/raw/regulator_instability_run_005.csv
1900,0.900,regulator_instability_run_005,porter_dev,power_expert,1,regulator_instability,power,2,12.860,0.840,10.802,ai_ml/datasets/power_expert/raw/regulator_instability_run_005.csv
2000,1.000,regulator_instability_run_005,porter_dev,power_expert,1,regulator_instability,power,2,12.150,0.860,10.449,ai_ml/datasets/power_expert/raw/regulator_instability_run_005.csv
2100,1.100,regulator_instability_run_005,porter_dev,power_expert,1,regulator_instability,power,2,12.840,0.880,11.299,ai_ml/datasets/power_expert/raw/regulator_instability_run_005.csv
2200,1.200,regulator_instability_run_005,porter_dev,power_expert,1,regulator_instability,power,2,12.130,0.820,9.947,ai_ml/datasets/power_expert/raw/regulator_instability_run_005.csv
2300,1.300,regulator_instability_run_005,porter_dev,power_expert,1,regulator_instability,power,2,12.820,0.840,10.769,ai_ml/datasets/power_expert/raw/regulator_instability_run_005.csv
2400,1.400,regulator_instability_run_005,porter_dev,power_expert,1,regulator_instability,power,2,12.110,0.860,10.415,ai_ml/datasets/power_expert/raw/regulator_instability_run_005.csv
2500,1.500,regulator_instability_run_005,porter_dev,power_expert,1,regulator_instability,power,2,12.800,0.880,11.264,ai_ml/datasets/power_expert/raw/regulator_instability_run_005.csv
2600,1.600,regulator_instability_run_005,porter_dev,power_expert,1,regulator_instability,power,2,12.090,0.820,9.914,ai_ml/datasets/power_expert/raw/regulator_instability_run_005.csv
2700,1.700,regulator_instability_run_005,porter_dev,power_expert,1,regulator_instability,power,2,12.780,0.840,10.735,ai_ml/datasets/power_expert/raw/regulator_instability_run_005.csv
