timestamp_ms,elapsed_s,run_id,robot_id,expert_name,fault_active,fault_label,fault_subsystem,severity,brightness_command,light_current_a,light_voltage_v,light_sensor_lux,light_driver_temp_c,light_fault_gpio,telemetry_valid,telemetry_age_ms,source_file
2200,1.200,healthy_run_001,porter_dev,lighting_expert,0,healthy,lighting,0,180,0.420,5.050,644,37.20,0,1,6,ai_ml/datasets/lighting_expert/raw/healthy_run_001.csv
2300,1.300,healthy_run_001,porter_dev,lighting_expert,0,healthy,lighting,0,180,0.430,5.050,646,37.30,0,1,6,ai_ml/datasets/lighting_expert/raw/healthy_run_001.csv
2400,1.400,healthy_run_001,porter_dev,lighting_expert,0,healthy,lighting,0,180,0.440,5.050,648,37.40,0,1,6,ai_ml/datasets/lighting_expert/raw/healthy_run_001.csv
2500,1.500,healthy_run_001,porter_dev,lighting_expert,0,healthy,lighting,0,180,0.450,5.050,650,37.50,0,1,6,ai_ml/datasets/lighting_expert/raw/healthy_run_001.csv
2600,1.600,healthy_run_001,porter_dev,lighting_expert,0,healthy,lighting,0,180,0.420,5.050,652,37.60,0,1,6,ai_ml/datasets/lighting_expert/raw/healthy_run_001.csv
2700,1.700,healthy_run_001,porter_dev,lighting_expert,0,healthy,lighting,0,180,0.430,5.050,654,37.70,0,1,6,ai_ml/datasets/lighting_expert/raw/healthy_run_001.csv
1000,0.000,led_disconnected_run_002,porter_dev,lighting_expert,1,led_disconnected,lighting,2,180,0.050,5.050,20,36.00,0,1,6,ai_ml/datasets/lighting_expert/raw/led_disconnected_run_002.csv
1100,0.100,led_disconnected_run_002,porter_dev,lighting_expert,1,led_disconnected,lighting,2,180,0.050,5.050,20,36.10,0,1,6,ai_ml/datasets/lighting_expert/raw/led_disconnected_run_002.csv
1200,0.200,led_disconnected_run_002,porter_dev,lighting_expert,1,led_disconnected,lighting,2,180,0.050,5.050,20,36.20,0,1,6,ai_ml/datasets/lighting_expert/raw/led_disconnected_run_002.csv
1300,0.300,led_disconnected_run_002,porter_dev,lighting_expert,1,led_disconnected,lighting,2,180,0.050,5.050,20,36.30,0,1,6,ai_ml/datasets/lighting_expert/raw/led_disconnected_run_002.csv
1400,0.400,led_disconnected_run_002,porter_dev,lighting_expert,1,led_disconnected,lighting,2,180,0.050,5.050,20,36.40,0,1,6,ai_ml/datasets/lighting_expert/raw/led_disconnected_run_002.csv
1500,0.500,led_disconnected_run_002,porter_dev,lighting_expert,1,led_disconnected,lighting,2,180,0.050,5.050,20,36.50,0,1,6,ai_ml/datasets/lighting_expert/raw/led_disconnected_run_002.csv
1600,0.600,led_disconnected_run_002,porter_dev,lighting_expert,1,led_disconnected,lighting,2,180,0.050,5.050,20,36.60,0,1,6,ai_ml/datasets/lighting_expert/raw/led_disconnected_run_002.csv
1700,0.700,led_disconnected_run_002,porter_dev,lighting_expert,1,led_disconnected,lighting,2,180,0.050,5.050,20,36.70,0,1,6,ai_ml/datasets/lighting_expert/raw/led_disconnected_run_002.csv
1800,0.800,led_disconnected_run_002,porter_dev,lighting_expert,1,led_disconnected,lighting,2,180,0.050,5.050,20,36.80,0,1,6,ai_ml/datasets/lighting_expert/raw/led_disconnected_run_002.csv
1900,0.900,led_disconnected_run_002,porter_dev,lighting_expert,1,led_disconnected,lighting,2,180,0.050,5.050,20,36.90,0,1,6,ai_ml/datasets/lighting_expert/raw/led_disconnected_run_002.csv
2000,1.000,led_disconnected_run_002,porter_dev,lighting_expert,1,led_disconnected,lighting,2,180,0.050,5.050,20,37.00,0,1,6,ai_ml/datasets/lighting_expert/raw/led_disconnected_run_002.csv
2100,1.100,led_disconnected_run_002,porter_dev,lighting_expert,1,led_disconnected,lighting,2,180,0.050,5.050,20,37.10,0,1,6,ai_ml/datasets/lighting_expert/raw/led_disconnected_run_002.csv
2200,1.200,led_disconnected_run_002,porter_dev,lighting_expert,1,led_disconnected,lighting,2,180,0.050,5.050,20,37.20,0,1,6,ai_ml/datasets/lighting_expert/raw/led_disconnected_run_002.csv
2300,1.300,led_disconnected_run_002,porter_dev,lighting_expert,1,led_disconnected,lighting,2,180,0.050,5.050,20,37.30,0,1,6,ai_ml/datasets/lighting_expert/raw/led_disconnected_run_002.csv
2400,1.400,led_disconnected_run_002,porter_dev,lighting_expert,1,led_disconnected,lighting,2,180,0.050,5.050,20,37.40,0,1,6,ai_ml/datasets/lighting_expert/raw/led_disconnected_run_002.csv
2500,1.500,led_disconnected_run_002,porter_dev,lighting_expert,1,led_disconnected,lighting,2,180,0.050,5.050,20,37.50,0,1,6,ai_ml/datasets/lighting_expert/raw/led_disconnected_run_002.csv
2600,1.600,led_disconnected_run_002,porter_dev,lighting_expert,1,led_disconnected,lighting,2,180,0.050,5.050,20,37.60,0,1,6,ai_ml/datasets/lighting_expert/raw/led_disconnected_run_002.csv
2700,1.700,led_disconnected_run_002,porter_dev,lighting_expert,1,led_disconnected,lighting,2,180,0.050,5.050,20,37.70,0,1,6,ai_ml/datasets/lighting_expert/raw/led_disconnected_run_002.csv
1000,0.000,light_driver_fault_run_004,porter_dev,lighting_expert,1,light_driver_fault,lighting,1,180,0.420,5.050,620,36.00,1,0,180,ai_ml/datasets/lighting_expert/raw/light_driver_fault_run_004.csv
1100,0.100,light_driver_fault_run_004,porter_dev,lighting_expert,1,light_driver_fault,lighting,1,180,0.430,5.050,622,36.10,1,0,180,ai_ml/datasets/lighting_expert/raw/light_driver_fault_run_004.csv
1200,0.200,light_driver_fault_run_004,porter_dev,lighting_expert,1,light_driver_fault,lighting,1,180,0.440,5.050,624,36.20,1,0,180,ai_ml/datasets/lighting_expert/raw/light_driver_fault_run_004.csv
1300,0.300,light_driver_fault_run_004,porter_dev,lighting_expert,1,light_driver_fault,lighting,1,180,0.450,5.050,626,36.30,1,0,180,ai_ml/datasets/lighting_expert/raw/light_driver_fault_run_004.csv
1400,0.400,light_driver_fault_run_004,porter_dev,lighting_expert,1,light_driver_fault,lighting,1,180,0.420,5.050,628,36.40,1,0,180,ai_ml/datasets/lighting_expert/raw/light_driver_fault_run_004.csv
1500,0.500,light_driver_fault_run_004,porter_dev,lighting_expert,1,light_driver_fault,lighting,1,180,0.430,5.050,630,36.50,1,0,180,ai_ml/datasets/lighting_expert/raw/light_driver_fault_run_004.csv
1600,0.600,light_driver_fault_run_004,porter_dev,lighting_expert,1,light_driver_fault,lighting,1,180,0.440,5.050,632,36.60,1,0,180,ai_ml/datasets/lighting_expert/raw/light_driver_fault_run_004.csv
1700,0.700,light_driver_fault_run_004,porter_dev,lighting_expert,1,light_driver_fault,lighting,1,180,0.450,5.050,634,36.70,1,0,180,ai_ml/datasets/lighting_expert/raw/light_driver_fault_run_004.csv
1800,0.800,light_driver_fault_run_004,porter_dev,lighting_expert,1,light_driver_fault,lighting,1,180,0.420,5.050,636,36.80,1,0,180,ai_ml/datasets/lighting_expert/raw/light_driver_fault_run_004.csv
1900,0.900,light_driver_fault_run_004,porter_dev,lighting_expert,1,light_driver_fault,lighting,1,180,0.430,5.050,638,36.90,1,0,180,ai_ml/datasets/lighting_expert/raw/light_driver_fault_run_004.csv
2000,1.000,light_driver_fault_run_004,porter_dev,lighting_expert,1,light_driver_fault,lighting,1,180,0.440,5.050,640,37.00,1,0,180,ai_ml/datasets/lighting_expert/raw/light_driver_fault_run_004.csv
2100,1.100,light_driver_fault_run_004,porter_dev,lighting_expert,1,light_driver_fault,lighting,1,180,0.450,5.050,642,37.10,1,0,180,ai_ml/datasets/lighting_expert/raw/light_driver_fault_run_004.csv
2200,1.200,light_driver_fault_run_004,porter_dev,lighting_expert,1,light_driver_fault,lighting,1,180,0.420,5.050,644,37.20,1,0,180,ai_ml/datasets/lighting_expert/raw/light_driver_fault_run_004.csv
2300,1.300,light_driver_fault_run_004,porter_dev,lighting_expert,1,light_driver_fault,lighting,1,180,0.430,5.050,646,37.30,1,0,180,ai_ml/datasets/lighting_expert/raw/light_driver_fault_run_004.csv
2400,1.400,light_driver_fault_run_004,porter_dev,lighting_expert,1,light_driver_fault,lighting,1,180,0.440,5.050,648,37.40,1,0,180,ai_ml/datasets/lighting_expert/raw/light_driver_fault_run_004.csv
2500,1.500,light_driver_fault_run_004,porter_dev,lighting_expert,1,light_driver_fault,lighting,1,180,0.450,5.050,650,37.50,1,0,180,ai_ml/datasets/lighting_expert/raw/light_driver_fault_run_004.csv
2600,1.600,light_driver_fault_run_004,porter_dev,lighting_expert,1,light_driver_fault,lighting,1,180,0.420,5.050,652,37.60,1,0,180,ai_ml/datasets/lighting_expert/raw/light_driver_fault_run_004.csv
2700,1.700,light_driver_fault_run_004,porter_dev,lighting_expert,1,light_driver_fault,lighting,1,180,0.430,5.050,654,37.70,1,0,180,ai_ml/datasets/lighting_expert/raw/light_driver_fault_run_004.csv
1000,0.000,lighting_overcurrent_run_005,porter_dev,lighting_expert,1,lighting_overcurrent,lighting,2,180,1.250,5.050,620,62.00,0,1,6,ai_ml/datasets/lighting_expert/raw/lighting_overcurrent_run_005.csv
1100,0.100,lighting_overcurrent_run_005,porter_dev,lighting_expert,1,lighting_overcurrent,lighting,2,180,1.250,5.050,622,62.10,0,1,6,ai_ml/datasets/lighting_expert/raw/lighting_overcurrent_run_005.csv
1200,0.200,lighting_overcurrent_run_005,porter_dev,lighting_expert,1,lighting_overcurrent,lighting,2,180,1.250,5.050,624,62.20,0,1,6,ai_ml/datasets/lighting_expert/raw/lighting_overcurrent_run_005.csv
1300,0.300,lighting_overcurrent_run_005,porter_dev,lighting_expert,1,lighting_overcurrent,lighting,2,180,1.250,5.050,626,62.30,0,1,6,ai_ml/datasets/lighting_expert/raw/lighting_overcurrent_run_005.csv
1400,0.400,lighting_overcurrent_run_005,porter_dev,lighting_expert,1,lighting_overcurrent,lighting,2,180,1.250,5.050,628,62.40,0,1,6,ai_ml/datasets/lighting_expert/raw/lighting_overcurrent_run_005.csv
1500,0.500,lighting_overcurrent_run_005,porter_dev,lighting_expert,1,lighting_overcurrent,lighting,2,180,1.250,5.050,630,62.50,0,1,6,ai_ml/datasets/lighting_expert/raw/lighting_overcurrent_run_005.csv
1600,0.600,lighting_overcurrent_run_005,porter_dev,lighting_expert,1,lighting_overcurrent,lighting,2,180,1.250,5.050,632,62.60,0,1,6,ai_ml/datasets/lighting_expert/raw/lighting_overcurrent_run_005.csv
1700,0.700,lighting_overcurrent_run_005,porter_dev,lighting_expert,1,lighting_overcurrent,lighting,2,180,1.250,5.050,634,62.70,0,1,6,ai_ml/datasets/lighting_expert/raw/lighting_overcurrent_run_005.csv
1800,0.800,lighting_overcurrent_run_005,porter_dev,lighting_expert,1,lighting_overcurrent,lighting,2,180,1.250,5.050,636,62.80,0,1,6,ai_ml/datasets/lighting_expert/raw/lighting_overcurrent_run_005.csv
1900,0.900,lighting_overcurrent_run_005,porter_dev,lighting_expert,1,lighting_overcurrent,lighting,2,180,1.250,5.050,638,62.90,0,1,6,ai_ml/datasets/lighting_expert/raw/lighting_overcurrent_run_005.csv
2000,1.000,lighting_overcurrent_run_005,porter_dev,lighting_expert,1,lighting_overcurrent,lighting,2,180,1.250,5.050,640,63.00,0,1,6,ai_ml/datasets/lighting_expert/raw/lighting_overcurrent_run_005.csv
2100,1.100,lighting_overcurrent_run_005,porter_dev,lighting_expert,1,lighting_overcurrent,lighting,2,180,1.250,5.050,642,63.10,0,1,6,ai_ml/datasets/lighting_expert/raw/lighting_overcurrent_run_005.csv
2200,1.200,lighting_overcurrent_run_005,porter_dev,lighting_expert,1,lighting_overcurrent,lighting,2,180,1.250,5.050,644,63.20,0,1,6,ai_ml/datasets/lighting_expert/raw/lighting_overcurrent_run_005.csv
2300,1.300,lighting_overcurrent_run_005,porter_dev,lighting_expert,1,lighting_overcurrent,lighting,2,180,1.250,5.050,646,63.30,0,1,6,ai_ml/datasets/lighting_expert/raw/lighting_overcurrent_run_005.csv
2400,1.400,lighting_overcurrent_run_005,porter_dev,lighting_expert,1,lighting_overcurrent,lighting,2,180,1.250,5.050,648,63.40,0,1,6,ai_ml/datasets/lighting_expert/raw/lighting_overcurrent_run_005.csv
2500,1.500,lighting_overcurrent_run_005,porter_dev,lighting_expert,1,lighting_overcurrent,lighting,2,180,1.250,5.050,650,63.50,0,1,6,ai_ml/datasets/lighting_expert/raw/lighting_overcurrent_run_005.csv
2600,1.600,lighting_overcurrent_run_005,porter_dev,lighting_expert,1,lighting_overcurrent,lighting,2,180,1.250,5.050,652,63.60,0,1,6,ai_ml/datasets/lighting_expert/raw/lighting_overcurrent_run_005.csv
2700,1.700,lighting_overcurrent_run_005,porter_dev,lighting_expert,1,lighting_overcurrent,lighting,2,180,1.250,5.050,654,63.70,0,1,6,ai_ml/datasets/lighting_expert/raw/lighting_overcurrent_run_005.csv
1000,0.000,lighting_short_suspected_run_006,porter_dev,lighting_expert,1,lighting_short_suspected,lighting,3,180,1.800,3.100,620,36.00,1,1,6,ai_ml/datasets/lighting_expert/raw/lighting_short_suspected_run_006.csv
1100,0.100,lighting_short_suspected_run_006,porter_dev,lighting_expert,1,lighting_short_suspected,lighting,3,180,1.800,3.100,622,36.10,1,1,6,ai_ml/datasets/lighting_expert/raw/lighting_short_suspected_run_006.csv
1200,0.200,lighting_short_suspected_run_006,porter_dev,lighting_expert,1,lighting_short_suspected,lighting,3,180,1.800,3.100,624,36.20,1,1,6,ai_ml/datasets/lighting_expert/raw/lighting_short_suspected_run_006.csv
1300,0.300,lighting_short_suspected_run_006,porter_dev,lighting_expert,1,lighting_short_suspected,lighting,3,180,1.800,3.100,626,36.30,1,1,6,ai_ml/datasets/lighting_expert/raw/lighting_short_suspected_run_006.csv
1400,0.400,lighting_short_suspected_run_006,porter_dev,lighting_expert,1,lighting_short_suspected,lighting,3,180,1.800,3.100,628,36.40,1,1,6,ai_ml/datasets/lighting_expert/raw/lighting_short_suspected_run_006.csv
1500,0.500,lighting_short_suspected_run_006,porter_dev,lighting_expert,1,lighting_short_suspected,lighting,3,180,1.800,3.100,630,36.50,1,1,6,ai_ml/datasets/lighting_expert/raw/lighting_short_suspected_run_006.csv
1600,0.600,lighting_short_suspected_run_006,porter_dev,lighting_expert,1,lighting_short_suspected,lighting,3,180,1.800,3.100,632,36.60,1,1,6,ai_ml/datasets/lighting_expert/raw/lighting_short_suspected_run_006.csv
1700,0.700,lighting_short_suspected_run_006,porter_dev,lighting_expert,1,lighting_short_suspected,lighting,3,180,1.800,3.100,634,36.70,1,1,6,ai_ml/datasets/lighting_expert/raw/lighting_short_suspected_run_006.csv
1800,0.800,lighting_short_suspected_run_006,porter_dev,lighting_expert,1,lighting_short_suspected,lighting,3,180,1.800,3.100,636,36.80,1,1,6,ai_ml/datasets/lighting_expert/raw/lighting_short_suspected_run_006.csv
1900,0.900,lighting_short_suspected_run_006,porter_dev,lighting_expert,1,lighting_short_suspected,lighting,3,180,1.800,3.100,638,36.90,1,1,6,ai_ml/datasets/lighting_expert/raw/lighting_short_suspected_run_006.csv
2000,1.000,lighting_short_suspected_run_006,porter_dev,lighting_expert,1,lighting_short_suspected,lighting,3,180,1.800,3.100,640,37.00,1,1,6,ai_ml/datasets/lighting_expert/raw/lighting_short_suspected_run_006.csv
2100,1.100,lighting_short_suspected_run_006,porter_dev,lighting_expert,1,lighting_short_suspected,lighting,3,180,1.800,3.100,642,37.10,1,1,6,ai_ml/datasets/lighting_expert/raw/lighting_short_suspected_run_006.csv
2200,1.200,lighting_short_suspected_run_006,porter_dev,lighting_expert,1,lighting_short_suspected,lighting,3,180,1.800,3.100,644,37.20,1,1,6,ai_ml/datasets/lighting_expert/raw/lighting_short_suspected_run_006.csv
2300,1.300,lighting_short_suspected_run_006,porter_dev,lighting_expert,1,lighting_short_suspected,lighting,3,180,1.800,3.100,646,37.30,1,1,6,ai_ml/datasets/lighting_expert/raw/lighting_short_suspected_run_006.csv
2400,1.400,lighting_short_suspected_run_006,porter_dev,lighting_expert,1,lighting_short_suspected,lighting,3,180,1.800,3.100,648,37.40,1,1,6,ai_ml/datasets/lighting_expert/raw/lighting_short_suspected_run_006.csv
2500,1.500,lighting_short_suspected_run_006,porter_dev,lighting_expert,1,lighting_short_suspected,lighting,3,180,1.800,3.100,650,37.50,1,1,6,ai_ml/datasets/lighting_expert/raw/lighting_short_suspected_run_006.csv
2600,1.600,lighting_short_suspected_run_006,porter_dev,lighting_expert,1,lighting_short_suspected,lighting,3,180,1.800,3.100,652,37.60,1,1,6,ai_ml/datasets/lighting_expert/raw/lighting_short_suspected_run_006.csv
2700,1.700,lighting_short_suspected_run_006,porter_dev,lighting_expert,1,lighting_short_suspected,lighting,3,180,1.800,3.100,654,37.70,1,1,6,ai_ml/datasets/lighting_expert/raw/lighting_short_suspected_run_006.csv
